,ns,pageid,title,category
0,0,43385931,Data exploration,Category:Machine_learning
1,0,49082762,List of datasets for machine learning research,Category:Machine_learning
2,0,233488,Machine learning,Category:Machine_learning
3,0,53587467,Outline of machine learning,Category:Machine_learning
4,0,53198248,Singular statistical model,Category:Machine_learning
5,0,3771060,Accuracy paradox,Category:Machine_learning
6,0,43808044,Action model learning,Category:Machine_learning
7,0,28801798,Active learning (machine learning),Category:Machine_learning
8,0,45049676,Adversarial machine learning,Category:Machine_learning
9,0,52642349,AIVA,Category:Machine_learning
10,0,30511763,AIXI,Category:Machine_learning
11,0,50773876,Algorithm Selection,Category:Machine_learning
12,0,20890511,Algorithmic inference,Category:Machine_learning
13,0,49242352,AlphaGo,Category:Machine_learning
14,0,19463198,Apprenticeship learning,Category:Machine_learning
15,0,14003441,Bag-of-words model,Category:Machine_learning
16,0,31877832,Ball tree,Category:Machine_learning
17,0,9732182,Base rate,Category:Machine_learning
18,0,35867897,Bayesian interpretation of kernel regularization,Category:Machine_learning
19,0,40973765,Bayesian optimization,Category:Machine_learning
20,0,50211107,Bayesian structural time series,Category:Machine_learning
21,0,40678189,Bias–variance tradeoff,Category:Machine_learning
22,0,205393,Binary classification,Category:Machine_learning
23,0,50646178,Bing Predicts,Category:Machine_learning
24,0,1191936,Bongard problem,Category:Machine_learning
25,0,44439173,Bradley–Terry model,Category:Machine_learning
26,0,53631046,Caffe (software),Category:Machine_learning
27,0,39182554,Catastrophic interference,Category:Machine_learning
28,0,8964665,Category utility,Category:Machine_learning
29,0,17114678,CBCL (MIT),Category:Machine_learning
30,0,22795783,CIML community portal,Category:Machine_learning
31,0,28650287,Cleverbot,Category:Machine_learning
32,0,2934910,Cognitive robotics,Category:Machine_learning
33,0,9583985,Committee machine,Category:Machine_learning
34,0,387537,Computational learning theory,Category:Machine_learning
35,0,3118600,Concept drift,Category:Machine_learning
36,0,6968451,Concept learning,Category:Machine_learning
37,0,4118276,Conditional random field,Category:Machine_learning
38,0,847558,Confusion matrix,Category:Machine_learning
39,0,54550729,Connectionist Temporal Classification (CTC),Category:Machine_learning
40,0,28255458,Constrained conditional model,Category:Machine_learning
41,0,34042707,Coupled pattern learner,Category:Machine_learning
42,0,5767980,Cross-entropy method,Category:Machine_learning
43,0,416612,Cross-validation (statistics),Category:Machine_learning
44,0,787776,Curse of dimensionality,Category:Machine_learning
45,0,49316492,Darkforest,Category:Machine_learning
46,0,12386904,Data pre-processing,Category:Machine_learning
47,0,51112472,Dataiku,Category:Machine_learning
48,0,19317802,Decision list,Category:Machine_learning
49,0,48290454,Deep feature synthesis,Category:Machine_learning
50,0,43169442,Deeplearning4j,Category:Machine_learning
51,0,41755648,DeepMind,Category:Machine_learning
52,0,1422176,Developmental robotics,Category:Machine_learning
53,0,579867,Dimensionality reduction,Category:Machine_learning
54,0,12155912,Discriminative model,Category:Machine_learning
55,0,1331441,Document classification,Category:Machine_learning
56,0,45390860,Domain adaptation,Category:Machine_learning
57,0,10747995,Eager learning,Category:Machine_learning
58,0,213214,Early stopping,Category:Machine_learning
59,0,13750669,Elastic matching,Category:Machine_learning
60,0,1455062,Empirical risk minimization,Category:Machine_learning
61,0,52003586,End-to-end reinforcement learning,Category:Machine_learning
62,0,12304987,Ensembles of classifiers,Category:Machine_learning
63,0,48833041,Error Tolerance (PAC learning),Category:Machine_learning
64,0,43218024,Evaluation of binary classifiers,Category:Machine_learning
65,0,460689,Evolutionary programming,Category:Machine_learning
66,0,8416103,Evolvability (computer science),Category:Machine_learning
67,0,14923880,Expectation propagation,Category:Machine_learning
68,0,21638340,Explanation-based learning,Category:Machine_learning
69,0,1299404,Feature (machine learning),Category:Machine_learning
70,0,46207323,Feature engineering,Category:Machine_learning
71,0,36126852,Feature hashing,Category:Machine_learning
72,0,38870173,Feature learning,Category:Machine_learning
73,0,34061548,Feature scaling,Category:Machine_learning
74,0,2085584,Feature vector,Category:Machine_learning
75,0,313845,Formal concept analysis,Category:Machine_learning
76,0,1222578,Generative model,Category:Machine_learning
